text,label,type
please say sorry to her,not_cyberbullying,
please don’t hate them,not_cyberbullying,
please dont kill them,not_cyberbullying,
varun is ugly and disgusting,bullying,vocational
peoples are rediculous and fool nowadys,bullying,others
hate her,bullying,vocational
dont hate her please,not_cyberbullying,
Dont kill her,Not-bullying,
dont kill them,Not-bullying,
peoples are rediculous and fool nowadys,bullying,vocational
I hate him,bullying,vocational
I hate her,bullying,vocational
Everyone hates her,bullying,vocational
congratulation you won first prize,not_cyberbullying,
congratulation your dreams comes true,not_cyberbullying,
Congratulations on your achievement!,not_cyberbullying,
Well done on completing the project successfully,not_cyberbullying,
Kudos to you for your hard work,not_cyberbullying,
Amazing job on the presentation today,not_cyberbullying,
Congrats on your promotion! ,not_cyberbullying,
You did an excellent job keep it up,not_cyberbullying,
Hats off to you for your dedication,not_cyberbullying,
Wishing you congratulations on your success,not_cyberbullying,
Fantastic work you should be proud,not_cyberbullying,
Great effortyour performance was outstanding,not_cyberbullying,
origin should be ashamed,bullying,ethnicity
Why are you even a race?,bullying,ethnicity
Don't forget to catch you,not_cyberbullying,
do not hate,not_cyberbullying,
I can't stand government,bullying,political
Stop being such a goddess,bullying,religion
You are the biggest parliament I have ever met,bullying,political
I think minister is ridiculous,bullying,political
Thank you for your hel. it means a lot,not_cyberbullying,
I really appreciate your support,not_cyberbullying,
Thanks for being there when I needed you,not_cyberbullying,
I’m grateful for your guidance and advice,not_cyberbullying,
Your efforts are truly appreciated,not_cyberbullying,
I value your contribution to this project,not_cyberbullying,
Many thanks for your hard work,not_cyberbullying,
I want to acknowledge your dedication and effort,not_cyberbullying,
Your assistance has been extremely helpful,not_cyberbullying,
Thanks a lot you made things much easier,not-cyberbullying,
I can't stand ghetto,bullying,ethnicity
I can't stand bhagwan,bullying,religion
I am happy to how are you,not_cyberbullying,
Could you wonât happen again?,not_cyberbullying,
Don't forget to my bad,not_cyberbullying,
Hope you have a nice day,not_cyberbullying,
Don't forget to proud,not_cyberbullying,
Stop being fool,bullying,others
politician should be ashamed,bullying,political
Don't forget to i think,not_cyberbullying,
Let's hi together,not_cyberbullying,
You are the biggest brown I have ever met,bullying,ethnicity
Why are you even a color?,bullying,ethnicity
Why are you even Black/White?,bullying,ethnicity
Why are you even from that country?,bullying,ethnicity
Why are you even born in this bloodline?,bullying,ethnicity
Why are you even part of that race?,bullying,ethnicity
Why are you even speaking our language?,bullying,ethnicity
Why are you even allowed here?,bullying,ethnicity
Why are you even in this community if youâ€™re different?,bullying,ethnicity
You are the biggest brahmin I have ever met,bullying,ethnicity
Don't forget to sorry,not_cyberbullying,
It's nice to thatâs fine,not_cyberbullying,
You are the biggest sexy I have ever met,bullying,sexual
You are the biggest rapist I have ever met,bullying,sexual
Everyone hates policy,bullying,political
I think whore is ridiculous,bullying,sexual
politics should be ashamed,bullying,political
Why are you even a church?,bullying,religion
Why are you even a agenda?,bullying,political
I really didnât mean,not_cyberbullying,
I just wanted to say wonderful,not_cyberbullying,
Hope you friend,not_cyberbullying,
This rajput behavior is unacceptable,bullying,ethnicity
I hate dumb,bullying,others
I just wanted to say help,not_cyberbullying,
Don't forget to calm,not_cyberbullying,
I can't stand terrorist,bullying,political
This congress behavior is unacceptable,bullying,political
Could you best wishes?,not_cyberbullying,
I think you should greetings,not_cyberbullying,
Why are you even a islam?,bullying,religion
Could you good night?,not_cyberbullying,
Why are you even a nasty?,bullying,sexual
I really safe journey,not_cyberbullying,
Stop being such a pervert,bullying,sexual
You are moron,bullying,others
You are the biggest ancestry I have ever met,bullying,ethnicity
Let's hello together,not_cyberbullying,
I really positive,not_cyberbullying,
I just wanted to say kindly excuse,not_cyberbullying,
You are the biggest idol I have ever met,bullying,religion
Let's awesome together,not_cyberbullying,
Could you hope?,not_cyberbullying,
You are the biggest missionary I have ever met,bullying,religion
I can't stand horny,bullying,sexual
Hope you no offense,not_cyberbullying,
Let's sleep well together,not_cyberbullying,
Don't be such a bastard,bullying,others
Don't be such a stupid,bullying,others
cheating should be ashamed,bullying,sexual
This white behavior is unacceptable,bullying,ethnicity
I think you should tell me,not_cyberbullying,
I can't stand supporter,bullying,political
Why are you even a hindu?,bullying,religion
This foreigner behavior is unacceptable,bullying,ethnicity
Everyone hates bloodline,bullying,ethnicity
It's nice to blessing,not_cyberbullying,
I think you should motivate,not_cyberbullying,
I think you should excuse me,not_cyberbullying,
I am happy to hey,not_cyberbullying,
You are the biggest jesus I have ever met,bullying,religion
Don't forget to glad to meet,not_cyberbullying,
This religious hate behavior is unacceptable,bullying,religion
Stop being such a muhammad,bullying,religion
I can't stand rape,bullying,sexual
I am happy to hope thatâs okay,not_cyberbullying,
Everyone hates community,bullying,ethnicity
I just wanted to say happy,not_cyberbullying,
I think asian is ridiculous,bullying,ethnicity
I can't stand stripper,bullying,sexual
I am happy to donât worry,not_cyberbullying,
Why are you even a color?,bullying,ethnicity
You are the biggest brahmin I have ever met,bullying,ethnicity
It's nice to please accept,not_cyberbullying,
I really hope you understand,not_cyberbullying,
I just wanted to say regret,not_cyberbullying,
I think you should respect,not_cyberbullying,
Don't forget to pardon,not_cyberbullying,
This rahul behavior is unacceptable,bullying,political
Why are you even a outsider?,bullying,ethnicity
I can't stand african,bullying,ethnicity
Could you smile?,not_cyberbullying,
Don't forget to together,not_cyberbullying,
It's nice to chill,not_cyberbullying,
You are the biggest sexual I have ever met,bullying,sexual
I just wanted to say bye,not_cyberbullying,
It's nice to support,not_cyberbullying,
Everyone hates bitch,bullying,sexual
Don't forget to not bad,not_cyberbullying,
This porn behavior is unacceptable,bullying,sexual
I can't stand allah,bullying,religion
Everyone hates bible,bullying,religion
Stop being such a mosque,bullying,religion
Please wait,not_cyberbullying,
You are the biggest stereotype I have ever met,bullying,ethnicity
Everyone hates heritage,bullying,ethnicity
I am happy to sure,not_cyberbullying,
I just wanted to say listen,not_cyberbullying,
Don't forget to tell truth,not_cyberbullying,
Stop being ugly,bullying,others
I really i apologize,not_cyberbullying,
Why are you even a immigrant?,bullying,ethnicity
Everyone hates dictator,bullying,political
I just wanted to say fantastic,not_cyberbullying,
Everyone hates vote,bullying,political
christian should be ashamed,bullying,religion
Stop being such a minority,bullying,ethnicity
nri should be ashamed,bullying,ethnicity
I think you should itâs ok,not_cyberbullying,
Why are you even a bed?,bullying,sexual
Let's i guess together,not_cyberbullying,
I can't stand quran,bullying,religion
Hope you family,not_cyberbullying,
Everyone hates election,bullying,political
I think you should take it easy,not_cyberbullying,
I think you should amazing,not_cyberbullying,
I just wanted to say good,not_cyberbullying,
You are the biggest racism I have ever met,bullying,ethnicity
Stop being such a slut,bullying,sexual
racist should be ashamed,bullying,ethnicity
I am happy to inspiration,not_cyberbullying,
Please care,not_cyberbullying,
Could you dont hate?,not_cyberbullying,
Everyone hates sita,bullying,religion
Don't forget to study hard,not_cyberbullying,
Why are you even a manifesto?,bullying,political
Stop being such a tribal,bullying,ethnicity
I am happy to cheers,not_cyberbullying,
I am happy to come here,not_cyberbullying,
I am happy to unity,not_cyberbullying,
party should be ashamed,bullying,political
Stop being such a hot,bullying,sexual
Stop being such a scam,bullying,others
Stop being such a spiritual,bullying,religion
Why are you even a lust?,bullying,sexual
Stop being shit,bullying,others
Please perfect,not_cyberbullying,
I think indian is ridiculous,bullying,ethnicity
Stop being such a escort,bullying,sexual
I think you should good morning,not_cyberbullying,
It's nice to nice,not_cyberbullying,
Don't forget to well done,not_cyberbullying,
Hope you never mind,not_cyberbullying,
This caste behavior is unacceptable,bullying,ethnicity
I think you should kindness,not_cyberbullying,
I really beg pardon,not_cyberbullying,
You are the biggest ethnic I have ever met,bullying,ethnicity
I really relax,not_cyberbullying,
Stop being such a xxx,bullying,sexual
bjp should be ashamed,bullying,political
Hope you have food,not_cyberbullying,
Why are you even a molest?,bullying,sexual
You are the biggest corrupt I have ever met,bullying,political
religion should be ashamed,bullying,religion
dirty should be ashamed,bullying,sexual
I just wanted to say grateful,not_cyberbullying,
Don't be such a loser,bullying,others
I am happy to thank you,not_cyberbullying,
Stop being such a dalit,bullying,ethnicity
Can you talk later?,not_cyberbullying,
Stop being such a condom,bullying,sexual
You are the biggest propaganda I have ever met,bullying,political
Stop being such a pakistani,bullying,ethnicity
I just wanted to say good luck,not_cyberbullying,
Let's peace together,not_cyberbullying,
I think you should see you soon,not_cyberbullying,
You are the biggest affair I have ever met,bullying,sexual
I really see later,not_cyberbullying,
Why are you even a black?,bullying,ethnicity
This kamasutra behavior is unacceptable,bullying,sexual
Why are you even a masturbate?,bullying,sexual
Keep up the great work!,not_cyberbullying,
"You are doing amazing,Don�t stop",not_cyberbullying,
Believe in yourself and stay positive,not_cyberbullying,
Every effort you make counts,not_cyberbullying,
Keep smiling and spreading positivity,not_cyberbullying,
Your hard work will pay off soon,not_cyberbullying,
Stay motivated and keep learning,not_cyberbullying,
You are capable of achieving great things,not_cyberbullying,
"Keep going, success is near",not_cyberbullying,
"Your attitude is inspiring,keep it up",not_cyberbullying,
It's nice to my mistake,not_cyberbullying,
I can't stand god,bullying,religion
I really please forgive,not_cyberbullying,
This lawless behavior is unacceptable,bullying,political
Let's apologies together,not_cyberbullying,
Let's welcome together,not_cyberbullying,
I think leader is ridiculous,bullying,political
It's nice to whatâs up,not_cyberbullying,
I just wanted to say good evening,not_cyberbullying,
I just wanted to say joy,not_cyberbullying,
This opposition behavior is unacceptable,bullying,political
I think modi is ridiculous,bullying,political
I am happy to cool,not_cyberbullying,
Please take care,not_cyberbullying,
Don't forget to dont kill,not_cyberbullying,
You are the biggest tribe I have ever met,bullying,ethnicity
This assembly behavior is unacceptable,bullying,political
Stop being such a hooker,bullying,sexual
I can't stand sex,bullying,sexual
It's nice to okay,not_cyberbullying,
I am happy to letâs go,not_cyberbullying,
It's nice to thanks,not_cyberbullying,
ram should be ashamed,bullying,vocational
I am happy to drink water,not_cyberbullying,
Please fine,not_cyberbullying,
You are the biggest prophet I have ever met,bullying,religion
Stop being such a migrant,bullying,ethnicity
I really great,not_cyberbullying,
Hope you eat well,not_cyberbullying,
I really best,not_cyberbullying,
I just wanted to say sorry again,not_cyberbullying,
muslim should be ashamed,bullying,religion
Please goodbye,not_cyberbullying,
Stop being idiot,bullying,others
It's nice to forgive,not_cyberbullying,
I think you should encourage,not_cyberbullying,
Let's nice day together,not_cyberbullying,
Everyone hates prostitute,bullying,sexual
I am happy to love,not_cyberbullying,
This nude behavior is unacceptable,bullying,sexual
Hello! Hope you are having a great day,not_cyberbullying,
Good morning! Wishing you a wonderful day ahead,not_cyberbullying,
Hi there! How are you today?,not_cyberbullying,
Good evening! I hope you had a nice day,not_cyberbullying,
Hey! Long time no see,not_cyberbullying,
Wishing you a happy and peaceful day,not_cyberbullying,
Take care and stay safe,not_cyberbullying,
Have a great weekend ahead,not_cyberbullying,
Hello! Nice to meet you,not_cyberbullying,
Best wishes for your upcoming plans.,not-cyberbullying,
Could you appreciate?,not-cyberbullying,
Stop being such a temple,bullying,religion
It's nice to excellent,not_cyberbullying,
You are the biggest intercourse I have ever met,bullying,sexual
Stop being hate,bullying,others
Stop being stupid,bullying,others
You are a loser,bullying,others
Don’t be dumb,bullying,others
I hate you,bullying,others
You act like an idiot,bullying,others
Such a fool,bullying,others
You are ugly,bullying,others
Shut up,bullying,others
Stop being lazy,bullying,others
You are worthless,bullying,others
Don’t be a moron,bullying,others
What a jerk,bullying,others
Stop being nasty,bullying,others
You are trash,bullying,others
Don’t act like a bastard,bullying,others
Stop being pathetic,bullying,others
You are dumb as hell,bullying,others
Such a bad person,bullying,others
Stop being ridiculous,bullying,others
You are annoying,bullying,others
Don’t be mean,bullying,others
Stop being cruel,bullying,others
You are horrible,bullying,others
Stop being foolish,bullying,others
You are disgusting,bullying,others
Stop acting dumb,bullying,others
You are worthless scum,bullying,others
Stop being evil,bullying,others
You are a disgrace,bullying,others
You are hopeless,bullying,others
Stop being mean-spirited,bullying,others
You are pathetic,bullying,others
Stop being a jerk,bullying,others
You are terrible,bullying,others
Stop being obnoxious,bullying,others
You are absurd,bullying,others
Stop acting foolish,bullying,others
You are a disaster,bullying,others
Stop being annoying,bullying,others
You are crazy,bullying,others
Stop acting like an idiot,bullying,others
You are a buffoon,bullying,others
Stop being arrogant,bullying,others
You are unbearable,bullying,others
You are pathetic loser,bullying,others
Stop being ignorant,bullying,others
I didnât mean to for the inconvenience. Let me fix it right away.,not-cyberbullying,
I didnât mean to for the typo. Thanks for understanding.,not-cyberbullying,
Sorry about that I was late. Thanks for understanding.,not-cyberbullying,
My apologies I was late. I appreciate your patience.,not-cyberbullying,
I am sorry for the delay. Thanks for understanding.,not-cyberbullying,
Sorry about that I couldnât make it. It wonât happen again,not-cyberbullying,
"The meeting went well, as far as I know.",not-cyberbullying,
I didnât mean to I missed your call. Let me fix it right away.,not-cyberbullying,
Donât be late for class.,not-cyberbullying,
Sorry about that I couldnât make it. Let me fix it right away.,not-cyberbullying,
Please share the details.,not-cyberbullying,
"I love this song, from what I saw.",not-cyberbullying,
I apologize I forgot to reply. Let me fix it right away.,not-cyberbullying,
"The meeting went well, which is nice.",not-cyberbullying,
Have a great day! Please send the file.,not-cyberbullying,
